Title,Author,Link,Date Added
"The Surprising Benefits of Talking to Strangers",Joe Keohane,https://www.theatlantic.com/family/archive/2021/08/why-we-should-talk-strangers-more/619642/,2021-08-06
"Startup Priorities",Geoff Ralston,https://blog.geoffralston.com/startup-priorities,2021-07-20
"Unit Economics",Sam Altman,https://blog.samaltman.com/unit-economics,2021-07-20
"0009: It's a Side-Project, Not a Startup",蔡萬利 Jace Chua,https://uplink.substack.com/p/0009-its-a-side-project-not-a-startup,2021-07-04
"0008: The Last Moonshot or should I say, ""Marsshot?""",蔡萬利 Jace Chua,https://uplink.substack.com/p/0008-the-last-moonshot-or-should,2021-07-04
"0007: A Plan Meant to be Shattered",蔡萬利 Jace Chua,https://uplink.substack.com/p/0007-a-plan-meant-to-be-shattered,2021-07-02
"0006: Two Way Doors",蔡萬利 Jace Chua,https://uplink.substack.com/p/0006-two-way-doors,2021-07-02
"Breaking off the engagement",Chris Best,https://on.substack.com/p/breaking-off-the-engagement,2021-07-02
"Mad World",Mike Solana,https://www.piratewires.com/p/mad-world,2021-06-30
"0005: The Daily Tourist Lifestyle",蔡萬利 Jace Chua,https://uplink.substack.com/p/0005-the-daily-tourist-lifestyle,2021-06-30
"0004: The Void",蔡萬利 Jace Chua,https://uplink.substack.com/p/the-void,2021-06-27
"Whoever Generates the Demand Captures the Value",Erik Torenberg's Thoughts,https://eriktorenberg.substack.com/p/whoever-generates-the-demand-captures,2021-05-10
"The Death of The Middle",Erik Torenberg's Thoughts,https://eriktorenberg.substack.com/p/the-death-of-the-middle,2021-05-04
"0003: Finite",蔡萬利 Jace Chua,https://uplink.substack.com/p/003-finite,2021-05-02
"remembering that people aren’t problems to solve",Ava,https://ava.substack.com/p/remembering-that-people-arent-problems,2021-04-08
"It's Time to Build",Marc Andreessen,https://a16z.com/2020/04/18/its-time-to-build,2021-04-06
"Conviction - Reflections on building a startup during a pandemic",Earl Martin Valencia,https://www.linkedin.com/pulse/conviction-reflections-building-startup-during-earl-martin-valencia,2021-04-04
"against narratives",Ava,https://ava.substack.com/p/against-narratives,2021-03-23
"A proposed cure for media angst about Substack",Hamish McKenzie,https://blog.substack.com/p/a-proposed-cure-for-media-angst-about,2021-03-22
"0002: Zero to Seed",蔡萬利 Jace Chua,https://uplink.substack.com/p/0002-zero-to-seed,2021-03-19
"Grow the Puzzle Around You",Jessica Livingston,https://foundersatwork.posthaven.com/grow-the-puzzle-around-you,2021-03-17
"0001: Veer from Default",蔡萬利 Jace Chua,https://uplink.substack.com/p/0001-veer-from-default,2021-03-16
"How to Get Startup Ideas",Paul Graham,http://www.paulgraham.com/startupideas.html,2021-03-15
"Before the Startup",Paul Graham,http://www.paulgraham.com/before.html,2021-03-15
"Why To Not Not Start a Startup",Paul Graham,http://www.paulgraham.com/notnot.html,2021-03-15
"What happened to the future?",Bruce Gibney,https://foundersfund.com/the-future,2021-03-13
"Green Eggs and STFU",Mike Solana,https://www.piratewires.com/p/green-eggs-and-stfu,2021-03-10
"0000: Identification, Please",蔡萬利 Jace Chua,https://uplink.substack.com/p/0000-identification-please,2021-03-09
"Ambition",蔡萬利 Jace Chua,https://jacechua.medium.com/ambition-155f96a28214,2021-03-07
"How to Be an Angel Investor",Paul Graham,http://www.paulgraham.com/angelinvesting.html,2021-03-07
"The Top Idea in Your Mind",Paul Graham,http://www.paulgraham.com/top.html,2021-03-07
"The Bus Ticket Theory of Genius",Paul Graham,http://www.paulgraham.com/genius.html,2021-03-07
"Grow the Puzzle Around You",Jessica Livingston,https://foundersatwork.posthaven.com,2021-03-07
"Life is Short",Paul Graham,http://www.paulgraham.com/vb.html,2021-03-07
"List of previous prediction market projects",Jacob Lagerros,https://www.lesswrong.com/posts/5aacTtn8fWavbBeEe/list-of-previous-prediction-market-projects,2021-03-01
"010. Our BillG Review",Steven Sinofsky,https://hardcoresoftware.learningbyshipping.com/p/010-our-billg-review,2021-03-01
"The Framers and the Framed: Notes On The Slate Star Codex Controversy",Tanner Greer,https://scholars-stage.blogspot.com/2021/02/the-framers-and-framed-notes-on-slate.html,2021-03-01
"The Fable of the Dragon-Tyrant",Nick Bostrom,https://nickbostrom.com/fable/dragon.html,2021-02-28
"002: Writing as Self-Flagellation",Ashley Zhang,https://ashleydzhang.substack.com/p/002-writing-as-self-flagellation,2021-02-27
"000: On Becoming",Ashley Zhang,https://ashleydzhang.substack.com/p/000-on-becoming,2021-02-27
"The unsettling internal threat to McKinsey's next leader",Andrew Hill,https://www.ft.com/content/59786668-2438-4c65-bcfb-7781bfb2728b,2021-02-27
"The Archetypical Cycle of Internal Order and Disorder",Ray Dalio,https://www.linkedin.com/pulse/archetypical-cycle-internal-order-disorder-ray-dalio/,2021-02-27
"How to Do What You Love",Paul Graham,http://www.paulgraham.com/love.html,2021-02-27
"on doing what you love",Ava,https://ava.substack.com/p/on-doing-what-you-love,2021-02-27
"The Power of the Marginal",Paul Graham,http://www.paulgraham.com/marginal.html,2021-02-26
"A proposed cure for media angst about Substack",Hamish McKenzie,https://blog.substack.com/p/a-proposed-cure-for-media-angst-about,2021-02-26
"being on the internet",Ava,https://ava.substack.com/p/being-on-the-internet,2021-02-26
"009. Password is 'NeXTStep'",Steven Sinofsky,https://hardcoresoftware.learningbyshipping.com/p/009-password-is-nextstep,2021-02-24
"Idea Generation",Sam Altman,https://blog.samaltman.com/idea-generation,2021-02-24
"on writing more",Ava,https://ava.substack.com/p/on-writing-more,2021-02-24
"psychedelics a personal take",Ava,https://ava.substack.com/p/psychedelics-a-personal-take,2021-02-21
"How to Think for Yourself",Paul Graham,http://www.paulgraham.com/think.html,2021-02-20
"How to Write Usefully",Paul Graham,http://www.paulgraham.com/useful.html,2021-02-20
